dateRep,cases,deaths,countriesAndTerritories,continentExp,gdp_per_capita,life_expectancy,population,tests_units,Smokers
12/14/2020,746,6,Afghanistan,Asia,1803.987,64.83,41128772,,
12/13/2020,298,9,Afghanistan,Asia,1803.987,64.83,41128772,,
12/12/2020,113,11,Afghanistan,Asia,1803.987,64.83,41128772,,
12/11/2020,63,10,Afghanistan,Asia,1803.987,64.83,41128772,,
12/10/2020,202,16,Afghanistan,Asia,1803.987,64.83,41128772,,
12/9/2020,135,13,Afghanistan,Asia,1803.987,64.83,41128772,,
12/8/2020,200,6,Afghanistan,Asia,1803.987,64.83,41128772,,
12/7/2020,210,26,Afghanistan,Asia,1803.987,64.83,41128772,,
12/6/2020,234,10,Afghanistan,Asia,1803.987,64.83,41128772,,
12/5/2020,235,18,Afghanistan,Asia,1803.987,64.83,41128772,,
12/4/2020,119,5,Afghanistan,Asia,1803.987,64.83,41128772,,
12/3/2020,202,19,Afghanistan,Asia,1803.987,64.83,41128772,,
12/2/2020,400,48,Afghanistan,Asia,1803.987,64.83,41128772,,
12/1/2020,272,11,Afghanistan,Asia,1803.987,64.83,41128772,,
11/30/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
11/29/2020,228,11,Afghanistan,Asia,1803.987,64.83,41128772,,
11/28/2020,214,15,Afghanistan,Asia,1803.987,64.83,41128772,,
11/27/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
11/26/2020,200,12,Afghanistan,Asia,1803.987,64.83,41128772,,
11/25/2020,185,13,Afghanistan,Asia,1803.987,64.83,41128772,,
11/24/2020,246,17,Afghanistan,Asia,1803.987,64.83,41128772,,
11/23/2020,252,8,Afghanistan,Asia,1803.987,64.83,41128772,,
11/22/2020,154,12,Afghanistan,Asia,1803.987,64.83,41128772,,
11/21/2020,232,25,Afghanistan,Asia,1803.987,64.83,41128772,,
11/20/2020,282,5,Afghanistan,Asia,1803.987,64.83,41128772,,
11/19/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
11/18/2020,383,13,Afghanistan,Asia,1803.987,64.83,41128772,,
11/17/2020,65,6,Afghanistan,Asia,1803.987,64.83,41128772,,
11/16/2020,163,9,Afghanistan,Asia,1803.987,64.83,41128772,,
11/15/2020,205,12,Afghanistan,Asia,1803.987,64.83,41128772,,
11/14/2020,66,10,Afghanistan,Asia,1803.987,64.83,41128772,,
11/13/2020,360,14,Afghanistan,Asia,1803.987,64.83,41128772,,
11/12/2020,146,4,Afghanistan,Asia,1803.987,64.83,41128772,,
11/11/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
11/10/2020,224,12,Afghanistan,Asia,1803.987,64.83,41128772,,
11/9/2020,80,3,Afghanistan,Asia,1803.987,64.83,41128772,,
11/8/2020,126,6,Afghanistan,Asia,1803.987,64.83,41128772,,
11/7/2020,58,2,Afghanistan,Asia,1803.987,64.83,41128772,,
11/6/2020,40,0,Afghanistan,Asia,1803.987,64.83,41128772,,
11/5/2020,121,6,Afghanistan,Asia,1803.987,64.83,41128772,,
11/4/2020,86,4,Afghanistan,Asia,1803.987,64.83,41128772,,
11/3/2020,95,3,Afghanistan,Asia,1803.987,64.83,41128772,,
11/2/2020,132,5,Afghanistan,Asia,1803.987,64.83,41128772,,
11/1/2020,76,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/31/2020,157,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/30/2020,123,3,Afghanistan,Asia,1803.987,64.83,41128772,,
10/29/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/28/2020,113,7,Afghanistan,Asia,1803.987,64.83,41128772,,
10/27/2020,199,8,Afghanistan,Asia,1803.987,64.83,41128772,,
10/26/2020,65,3,Afghanistan,Asia,1803.987,64.83,41128772,,
10/25/2020,81,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/24/2020,61,2,Afghanistan,Asia,1803.987,64.83,41128772,,
10/23/2020,116,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/22/2020,135,2,Afghanistan,Asia,1803.987,64.83,41128772,,
10/21/2020,88,2,Afghanistan,Asia,1803.987,64.83,41128772,,
10/20/2020,87,5,Afghanistan,Asia,1803.987,64.83,41128772,,
10/19/2020,59,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/18/2020,68,3,Afghanistan,Asia,1803.987,64.83,41128772,,
10/17/2020,47,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/16/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/15/2020,32,1,Afghanistan,Asia,1803.987,64.83,41128772,,
10/14/2020,66,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/13/2020,129,3,Afghanistan,Asia,1803.987,64.83,41128772,,
10/12/2020,96,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/11/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/10/2020,10,1,Afghanistan,Asia,1803.987,64.83,41128772,,
10/9/2020,77,2,Afghanistan,Asia,1803.987,64.83,41128772,,
10/8/2020,68,1,Afghanistan,Asia,1803.987,64.83,41128772,,
10/7/2020,62,2,Afghanistan,Asia,1803.987,64.83,41128772,,
10/6/2020,145,5,Afghanistan,Asia,1803.987,64.83,41128772,,
10/5/2020,44,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/4/2020,7,4,Afghanistan,Asia,1803.987,64.83,41128772,,
10/3/2020,5,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/2/2020,17,0,Afghanistan,Asia,1803.987,64.83,41128772,,
10/1/2020,14,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/30/2020,15,2,Afghanistan,Asia,1803.987,64.83,41128772,,
9/29/2020,12,3,Afghanistan,Asia,1803.987,64.83,41128772,,
9/28/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/27/2020,35,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/26/2020,6,2,Afghanistan,Asia,1803.987,64.83,41128772,,
