dateRep;countriesAndTerritories;cases;deaths;life_expectancy;population
14/12/2020;Afghanistan;746;6; 64.83 ; 41128772.0 
13/12/2020;Afghanistan;298;9; 64.83 ; 41128772.0 
12/12/2020;Afghanistan;113;11; 64.83 ; 41128772.0 
11/12/2020;Afghanistan;63;10; 64.83 ; 41128772.0 
10/12/2020;Afghanistan;202;16; 64.83 ; 41128772.0 
9/12/2020;Afghanistan;135;13; 64.83 ; 41128772.0 
8/12/2020;Afghanistan;200;6; 64.83 ; 41128772.0 
7/12/2020;Afghanistan;210;26; 64.83 ; 41128772.0 
6/12/2020;Afghanistan;234;10; 64.83 ; 41128772.0 
5/12/2020;Afghanistan;235;18; 64.83 ; 41128772.0 
4/12/2020;Afghanistan;119;5; 64.83 ; 41128772.0 
3/12/2020;Afghanistan;202;19; 64.83 ; 41128772.0 
2/12/2020;Afghanistan;400;48; 64.83 ; 41128772.0 
1/12/2020;Afghanistan;272;11; 64.83 ; 41128772.0 
30/11/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
29/11/2020;Afghanistan;228;11; 64.83 ; 41128772.0 
28/11/2020;Afghanistan;214;15; 64.83 ; 41128772.0 
27/11/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
26/11/2020;Afghanistan;200;12; 64.83 ; 41128772.0 
25/11/2020;Afghanistan;185;13; 64.83 ; 41128772.0 
24/11/2020;Afghanistan;246;17; 64.83 ; 41128772.0 
23/11/2020;Afghanistan;252;8; 64.83 ; 41128772.0 
22/11/2020;Afghanistan;154;12; 64.83 ; 41128772.0 
21/11/2020;Afghanistan;232;25; 64.83 ; 41128772.0 
20/11/2020;Afghanistan;282;5; 64.83 ; 41128772.0 
19/11/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
18/11/2020;Afghanistan;383;13; 64.83 ; 41128772.0 
17/11/2020;Afghanistan;65;6; 64.83 ; 41128772.0 
16/11/2020;Afghanistan;163;9; 64.83 ; 41128772.0 
15/11/2020;Afghanistan;205;12; 64.83 ; 41128772.0 
14/11/2020;Afghanistan;66;10; 64.83 ; 41128772.0 
13/11/2020;Afghanistan;360;14; 64.83 ; 41128772.0 
12/11/2020;Afghanistan;146;4; 64.83 ; 41128772.0 
11/11/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
10/11/2020;Afghanistan;224;12; 64.83 ; 41128772.0 
9/11/2020;Afghanistan;80;3; 64.83 ; 41128772.0 
8/11/2020;Afghanistan;126;6; 64.83 ; 41128772.0 
7/11/2020;Afghanistan;58;2; 64.83 ; 41128772.0 
6/11/2020;Afghanistan;40;0; 64.83 ; 41128772.0 
5/11/2020;Afghanistan;121;6; 64.83 ; 41128772.0 
4/11/2020;Afghanistan;86;4; 64.83 ; 41128772.0 
3/11/2020;Afghanistan;95;3; 64.83 ; 41128772.0 
2/11/2020;Afghanistan;132;5; 64.83 ; 41128772.0 
1/11/2020;Afghanistan;76;0; 64.83 ; 41128772.0 
31/10/2020;Afghanistan;157;4; 64.83 ; 41128772.0 
30/10/2020;Afghanistan;123;3; 64.83 ; 41128772.0 
29/10/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
28/10/2020;Afghanistan;113;7; 64.83 ; 41128772.0 
27/10/2020;Afghanistan;199;8; 64.83 ; 41128772.0 
26/10/2020;Afghanistan;65;3; 64.83 ; 41128772.0 
25/10/2020;Afghanistan;81;4; 64.83 ; 41128772.0 
24/10/2020;Afghanistan;61;2; 64.83 ; 41128772.0 
23/10/2020;Afghanistan;116;4; 64.83 ; 41128772.0 
22/10/2020;Afghanistan;135;2; 64.83 ; 41128772.0 
21/10/2020;Afghanistan;88;2; 64.83 ; 41128772.0 
20/10/2020;Afghanistan;87;5; 64.83 ; 41128772.0 
19/10/2020;Afghanistan;59;4; 64.83 ; 41128772.0 
